ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YLDUN,YLDIN,PL_STUN,PL_STIN,DY_SKUN,DY_SKIN,PL_HTUN,PL_HTIN,E_HTUN,E_HTIN,ASI_IN,ASI_UN,DY_TASSIN,DY_TASSUN,E_ASPIN,E_ASPUN,E_HARVIN,E_HARVUN,E_ROTIN,E_ROTUN,ELDIN,HUSKUN,HUSKIN,INSTINF,INSTUN,P_ASPIN,P_ASPUN,P_HARVIN,P_HARVUN,R_LIN,R_LUN,RLPER,RUSTIN,RUSTUN,S_LIN,S_LUN,SLPER,STR_CO1,STR_CO2,STR_CO3,STR_RAT1,STR_RAT2,STREAK,BLTIN_M,BLTUN_M,CURVIN,CURVUN,STR_CO3_IN,STR_CO3_UN,STR_RA1_IN,STR_RA1_UN,STR_RA2_IN,STR_RA2_UN,STR_CO1_IN,STR_CO1_UN,STR_CO2_IN,STR_CO2_UN,POLSHEDIN,POLSHEDUN,HMIN,HMUN
28,International Striga Observation Trial,K893SM,7,855-13,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,363,,42.00,,62.00,,23.33,,15.00,,,,,,4.00,5.00,,28.00,,,,2.33,,,,,5.00,,4.67,,4.33,,,3.67,,2.67,,,,,,,,,3.33,,,,,,,,,,,,,,,,
29,International Striga Observation Trial,K893SM,8,ACR 87 TZUT W,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4138,,38.33,,63.33,,213.33,,1.00,,,,,,3.75,6.33,,38.67,,,,1.67,,,,,5.67,,39.33,,2.67,,,3.00,,1.33,,,,,,,,,4.00,,,,,,,,,,,,,,,,
30,International Striga Observation Trial,K893SM,9,TZSR-W STR TOL,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4623,,39.33,,62.33,,216.67,,12.00,,,,,,4.00,5.33,,38.67,,,,2.33,,,,,4.33,,4.67,,2.00,,,3.33,,1.67,,,,,,,,,4.33,,,,,,,,,,,,,,,,
31,International Striga Observation Trial,K893SM,1,8321-21,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,4720,,38.67,,61.67,,228.33,,126.67,,,,,,4.50,4.67,,38.00,,,,2.33,,,,,4.33,,38.00,,3.67,,,3.33,,1.33,,,,,,,,,3.67,,,,,,,,,,,,,,,,
32,International Striga Observation Trial,K893SM,11,LOCAL CHECK,NIGERIA,SAMARU,,7.38,11.11,Moist Savanna,1989,2869,,35.27,,62.77,,26.25,,13.17,,,,,,4.75,6.27,,3.85,,,,3.20,,,,,5.88,,33.28,,2.37,,,3.97,,1.33,,,,,,,,,4.47,,,,,,,,,,,,,,,,
33,Striga Hybrid Maize Trial (White/Yellow),K923AB,1,921-18,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,5237,1358,,,61.67,66.67,2.00,153.33,86.67,42.67,,,,,,2.67,12.00,23.33,3.80,2.67,,2.00,2.67,2.00,2.00,2.67,2.33,9.67,,,,,,,,,,81.00,92.67,,3.67,,,,,2.00,2.00,,,,,,,,,,,,,,
34,Striga Hybrid Maize Trial (White/Yellow),K923AB,2,922-13 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,4785,1358,,,61.67,65.00,216.67,166.67,1.00,5.00,,,,,,2.67,14.67,21.33,4.67,2.67,,2.00,2.33,2.00,2.00,3.33,2.33,1.00,,,,,,,,,,78.33,13.67,,5.00,,,,,2.00,2.33,,,,,,,,,,,,,,
35,Striga Hybrid Maize Trial (White/Yellow),K923AB,3,944-31 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,6724,170,,,62.00,65.33,23.33,14.00,96.67,6.00,,,,,,1.67,9.00,25.33,2.67,2.00,,2.00,2.67,2.00,2.00,3.33,2.33,9.33,,,,,,,,,,52.33,58.67,,5.33,,,,,2.67,2.33,,,,,,,,,,,,,,
36,Striga Hybrid Maize Trial (White/Yellow),K923AB,4,944-27 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,5884,95,,,64.00,66.33,18.00,146.67,9.00,7.00,,,,,,2.00,11.33,19.00,2.58,2.00,,2.00,3.67,2.00,2.00,4.33,2.00,8.33,,,,,,,,,,6.67,46.00,,6.33,,,,,2.00,2.00,,,,,,,,,,,,,,
37,Striga Hybrid Maize Trial (White/Yellow),K923AB,5,913-5 STR,NIGERIA,ABUJA,,7.33,9.27,Moist Savanna,1992,266,24,,,62.00,65.33,213.33,16.00,93.33,73.33,,,,,,3.67,3.67,15.00,3.58,3.00,,2.00,1.96,2.00,2.00,4.67,2.67,4.33,,,,,,,,,,17.00,25.33,,7.00,,,,,3.00,3.00,,,,,,,,,,,,,,
