ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
227,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,6,AMA TZBR-W C1,NIGERIA,EGBEMA,,7.43,5.52,,2001,4216.9,,,,,,,4.8,61,60,3.0,41,41,,,,,4.0,,,,,4.3,40,,,,,,,0.8,,,,2.8,,-0.3,,,,,0.5,,,,,,,4.7,,,,,,,,,,3.5,,,,,,,,,
228,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,7,ICZ5 BC2A (9450),NIGERIA,EGBEMA,,7.43,5.52,,2001,2627.2,,,,,,,6.0,61,61,4.0,37,41,,,,,4.3,,,,,5.5,40,,0.8,,,,,1.5,,,,5.0,,0.3,,,,,0.3,,,,,,,2.9,,,,,,,,,,4.0,,,,,,,,,
229,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,8,ICZ5 BC2B (KU1414SR/SR),NIGERIA,EGBEMA,,7.43,5.52,,2001,3641.1,,,,,,,5.3,60,60,4.0,39,40,,,,,4.5,,,,,5.3,40,,5.3,,,,,3.5,,,,8.3,,,,,,,0.8,,,,,,,4.1,,,,,,,,,,4.0,,,,,,,,,
230,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,9,TZBR Ses1-C3-W,NIGERIA,EGBEMA,,7.43,5.52,,2001,3773.9,,,,,,,5.0,62,62,3.0,37,41,,,,,4.3,,,,,4.8,41,,1.0,,,,,2.0,,,,2.8,,0.5,,,,,,,,,,,,4.0,,,,,,,,,,3.3,,,,,,,,,
231,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,10,TZBR Ses1-C3-Y,NIGERIA,EGBEMA,,7.43,5.52,,2001,3358.0,,,,,,,4.8,63,63,3.0,34,39,,,,,4.3,,,,,4.5,39,,1.5,,,,,3.8,,,,3.3,,0.8,,,,,0.3,,,,,,,3.6,,,,,,,,,,3.0,,,,,,,,,
232,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,11,TZBR Ses3-C4-Y,NIGERIA,EGBEMA,,7.43,5.52,,2001,2267.4,,,,,,,6.3,61,62,3.8,34,42,,,,,5.0,,,,,6.0,41,,2.3,,,,,2.0,,,,5.3,,0.8,,,,,0.3,,,,,,,2.5,,,,,,,,,,3.0,,,,,,,,,
233,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,12,TZBR Ses3-C4-W,NIGERIA,EGBEMA,,7.43,5.52,,2001,2703.1,,,,,,,5.8,61,62,3.5,34,42,,,,,4.3,,,,,5.3,41,,4.3,,,,,2.0,,,,5.5,,0.5,,,,,,,,,,,,3.0,,,,,,,,,,2.8,,,,,,,,,
234,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,13,CHECK 1,NIGERIA,EGBEMA,,7.43,5.52,,2001,4164.5,,,,,,,4.3,62,62,2.8,37,41,,,,,4.0,,,,,3.8,41,,0.8,,,,,1.0,,,,3.5,,0.3,,,,,0.8,,,,,,,4.6,,,,,,,,,,2.8,,,,,,,,,
235,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115EG,14,CHECK 2,NIGERIA,EGBEMA,,7.43,5.52,,2001,4330.4,,,,,,,4.5,63,64,2.8,37,42,,,,,4.3,,,,,4.5,41,,0.5,,,,,3.0,,,,4.3,,0.5,,,,,,,,,,,,4.6,,,,,,,,,,3.8,,,,,,,,,
236,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M0115IB,1,TZBR ELD1 C7,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2001,3590.6,,,,,,,,,57,2.3,23,105,,,,,4.0,,,,,3.3,26,192,3.3,,,,,2.8,,,,,,,0.8,,,,1.8,,,3.5,21,96,3.8,4.3,4.5,2.8,3.5,4.0,22,189,26,26,3.3,,0.3,,3295,2908,3249,57,1.8,,
