ID,TRL_TITL,TRIAL_ID,ENTRYNO,ENTRY,COUNTRY,LOCATION,DESCRIPTION,LONGITUDE,LATITUDE,AEZONE,YEAR,YIELD,BLIGHT,BORER,BORER1,BORER2,BORER3,BORER4,CURV,DY_POLL,DY_SK,E_ASP,E_HARV,E_HT,E_ROT,ELDANA,GR_MAIZE,HELM,HUSK,INST,MUSSIDIA,STREAK,NITR_RAT,P_ASP,P_HARV,PL_HT,RL,RL_RAT,RLPER,RUST,SESAMIA,SL,SL_RAT,SLPER,E_DAM_RAT,COB_DAM_CO,MOIST,ASI,EAR_DAM_RAT,EAR_DAM_CO,LEAF_FEED,COB_DAM_RT,DEAD_HEART,SB_DAM_RAT,BORER_DM_RAT,EASPIN,EHARVIN,EHTIN,FWTIN,FWTUN,HUSKIN,LEAFFEED,LFEED2,PASPIN,PHARVIN,PLHTIN,PLST,PLSTIN,RLIN,SBDAMRAT,SLIN,STEMTUNNEL,YIELDIN1,YIELDIN2,YIELDUN2,DYSKIN,EARDAMIN,EROTIN,MOISTIN
314,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,1,TZBR Eld.-3 C6,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,129,,,3,,,,,223,20,,2,,10,,,,,56,,3,
315,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,2,TZBR Eld.-4-W C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,148,,,4,,,,,240,21,,1,,12,,,,,57,,3,
316,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,3,TZBR Eld.-4-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,142,,,4,,,,,232,21,,2,,11,,,,,56,,3,
317,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,4,BR 9928-DMRSR C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,17,132,,,4,,,,,225,21,,1,,9,,,,,58,,2,
318,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,5,BR 9943-DMRSR C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,136,,,4,,,,,231,21,,2,,5,,,,,57,,3,
319,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,6,BR TZL Comp 4 DMRSR,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,133,,,3,,,,,230,21,,3,,9,,,,,57,,3,
320,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,7,Ama TZBR-W C4,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,129,,,4,,,,,226,21,,2,,11,,,,,57,,3,
321,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,8,Ama TZBR-Y,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,127,,,4,,,,,218,21,,3,,7,,,,,57,,4,
322,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,9,TZBR Comp 1-W C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,20,125,,,3,,,,,218,21,,2,,7,,,,,57,,3,
323,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,10,TZBR Comp 2-W C1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,135,,,4,,,,,223,21,,2,,11,,,,,58,,3,
324,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,11,TZBR Comp 1-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,18,120,,,3,,,,,204,17,,1,,3,,,,,56,,2,
325,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,12,TZBR Comp 2-Y C2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,15,135,,,3,,,,,227,20,,1,,8,,,,,56,,3,
326,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,13,Check 1,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,2581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,116,,,3,,,,,220,21,,2,,9,,,,,55,,3,
327,Late/Intermediate Stem Borer Resistant/ Tolerant Variety Trial,M1417IB,14,Check 2,NIGERIA,IBADAN,,3.93,7.38,Forest/Transitional,2013,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,121,,,3,,,,,212,21,,2,,11,,,,,53,,4,
